Category_ID,Category_Name,Element_ID,Element_Name,Element_Group,Element_Status,Idea_ID,Idea_Title,Idea_Topic,Idea_Niche,Idea_Status,Total_Prompts_For_Idea,Prompt_ID,Prompt_Level,Prompt_Level_Name,Prompt_Type,Prompt_Generation_Type,Prompt_Aspect_Ratio,Prompt_Duration_Sec,Prompt_Text,Prompt_Status,Task_ID,Task_Type,Task_Status,Task_Attempt_Count,Task_Max_Attempts,Latest_Attempt_Status,Latest_Attempt_Error,Output_Folder_Path,Output_Video_File_Exists,Output_Metadata_JSON_Exists,No_Retry_Locked,Pipeline_Lifecycle_State
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,1,1,Level 1 - BASIC,image_prompt,image,16:9,,"5-Layer Open Montage Structure

Layer 1 — Subject: A gigantic skyscraper-sized walking Rice Titan Harvester, a colossal humanoid agricultural machine standing above an endless flooded paddy field, two massive articulated harvesting arms sweeping through mature golden rice plants, industrial but believable mechanical design, enormous agricultural cutting claws.

Layer 2 — Environment: Vast Southeast Asian rice paddies stretching toward the horizon, reflective irrigation water, dense green and golden rice rows, distant rural villages, farmers and tiny agricultural vehicles emphasizing the titan's immense scale, humid morning atmosphere, low mist.

Layer 3 — Architecture: Heavy reinforced mechanical legs planted between rice paddies, armored central chassis, enormous belly-mounted automated threshing chamber, visible conveyor systems, grain separation drums, drying chambers, storage silos integrated into the torso, exposed hydraulic pistons and articulated joints.

Layer 4 — Energy/Physics: Subtle blue-white electrical arcs around joints, warm amber machinery glow inside the harvesting belly, realistic hydraulic pressure effects, dust and water displacement around the feet, faint electromagnetic field shimmer.

Layer 5 — Cinematic Presentation: Ultra-wide low-angle establishing shot, titan dominating the skyline, photorealistic cinematic lighting, realistic wet-surface reflections, atmospheric perspective, volumetric mist, intricate mechanical detail, cinematic depth of field, hyperreal materials, 16K render.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,2,1,Level 1 - BASIC,video_prompt,video,16:9,8.0,"Use IMAGE 01 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts.

Second 1 [0:00-0:01] — HUD Popup Text: ""STEP 1: SCAN THE CROP"" — Translucent consumer-",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,3,2,Level 2 - MORE STRUCTURE,image_prompt,image,16:9,,"5-Layer Open Montage Structure

Layer 1 — Subject: A more sophisticated skyscraper-sized Rice Titan Harvester with four articulated agricultural arms, reinforced harvesting claws, sensor towers, modular shoulders, and enormous mechanical legs capable of striding across multiple rice paddies simultaneously.

Layer 2 — Environment: Immense interconnected paddy terraces, irrigation channels, farm roads, palm trees, distant mountains, morning sunlight reflecting across flooded fields, hundreds of tiny workers and vehicles emphasizing colossal scale, atmospheric humidity.

Layer 3 — Architecture: Layered armored chassis, exposed structural trusses, multiple belly-mounted threshing modules, parallel conveyor belts, centrifugal grain separators, multi-stage dryers, grain elevators, enormous internal storage silos, service platforms, robotic maintenance arms.

Layer 4 — Energy/Physics: Bright cyan power conduits beneath translucent armor, synchronized hydraulic actuators, rotating electromagnetic separators, subtle magnetic grain-flow fields, glowing amber heat exchangers, realistic mechanical vibration and water displacement.

Layer 5 — Cinematic Presentation: Dramatic three-quarter aerial perspective combined with a low foreground viewpoint, strong sunrise rim lighting, photorealistic metal and composite materials, volumetric clouds, cinematic reflections, deep atmospheric perspective, extreme mechanical detail, 16K render.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,4,2,Level 2 - MORE STRUCTURE,video_prompt,video,16:9,8.0,"Use IMAGE 02 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts.

Second 1 [0:00-0:01] — HUD Popup Text: ""STEP 1: MAP THE FIELD"" — Sensor towers project a translucent grid across multiple rice paddies while the titan calculates optimal harvesting lanes.

Second 2 [0:01-0:02] — HUD Popup Text: ""STEP 2: HARVEST IN PARALLEL"" — Four colossal arms sweep synchronized arcs through separate rice sections.

Second 3 [0:02-0:03] — HUD Popup Text: ""STEP 3: SEPARATE THE GRAIN"" — Multiple threshing drums activate simultaneously inside the belly.

Second 4 [0:03-0:04] — HUD Popup Text: ""STEP 4: PURIFY & DRY"" — Air jets and centrifugal separators remove chaff while warm drying chambers process the rice.

Second 5 [0:04-0:05] — HUD Popup Text: ""STEP 5: FILL STORAGE"" — Grain elevators rapidly distribute polished rice into several enormous torso silos.

Seconds 6-8 [0:05-0:08]: HUD fades; camera glides toward an extreme close-up of a grain elevator transferring rice into a storage silo while the titan's mechanisms operate smoothly and continuously, no cuts.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,5,3,Level 3 - INDUSTRIAL COLOSSUS,image_prompt,image,16:9,,"5-Layer Open Montage Structure

Layer 1 — Subject: A mountain-like Rice Titan Harvester several skyscrapers tall, featuring six colossal articulated harvesting limbs, elongated mechanical fingers, rotating crop collectors, autonomous drone ports, and enormous walking legs spanning entire agricultural zones.

Layer 2 — Environment: An immense continental rice-growing region beneath dramatic storm clouds, thousands of paddies, irrigation canals, tiny villages, tractors, boats, and farmers appearing microscopic beside the machine, golden rice fields extending beyond the horizon.

Layer 3 — Architecture: Massive industrial torso built from layered armored plates and structural megatrusses, cathedral-sized belly processing complex, giant threshing cylinders, cyclone separators, industrial dryers, automated polishing lines, grain elevators, refrigerated storage vaults, robotic repair bays.

Layer 4 — Energy/Physics: High-voltage blue plasma conduits, electromagnetic grain accelerators, glowing heat-transfer systems, localized magnetic fields guiding grain streams, heavy hydraulic energy pulses, subtle ionized air around moving machinery.

Layer 5 — Cinematic Presentation: Extreme low-angle IMAX-style perspective, wide lens exaggerating the machine's scale, dramatic storm lighting, lightning illuminating its silhouette, rain droplets on metal surfaces, volumetric fog, photorealistic cinematic textures, enormous depth, 16K render.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,6,3,Level 3 - INDUSTRIAL COLOSSUS,video_prompt,video,16:9,8.0,"Use IMAGE 03 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts.

Second 1 [0:00-0:01] — HUD Popup Text: ""STEP 1: DEPLOY HARVESTERS"" — Six giant harvesting limbs unfold from the titan's shoulders and sides.

Second 2 [0:01-0:02] — HUD Popup Text: ""STEP 2: COLLECT THE CROP"" — Rotating collectors gather enormous waves of rice and funnel them toward armored intake ports.

Second 3 [0:02-0:03] — HUD Popup Text: ""STEP 3: ACTIVATE THRESHERS"" — Huge internal cylinders accelerate, violently separating rice grains from stalks.

Second 4 [0:03-0:04] — HUD Popup Text: ""STEP 4: PURIFY THE GRAIN"" — Electromagnetic and cyclone separators strip away chaff and debris.

Second 5 [0:04-0:05] — HUD Popup Text: ""STEP 5: LOAD THE VAULTS"" — Massive grain elevators carry purified rice into deep storage chambers.

Seconds 6-8 [0:05-0:08]: HUD fades; camera dives smoothly into the belly architecture and ends in a maximum close-up of rotating threshing cylinders with individual rice grains visibly separating, no cuts.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,7,4,Level 4 - MEGACITY HARVESTER,image_prompt,image,16:9,,"5-Layer Open Montage Structure

Layer 1 — Subject: A city-sized Rice Titan Harvester with a colossal humanoid silhouette, twelve harvesting arms, enormous articulated fingers, rotating crop-harvesting rings, autonomous agricultural drones, and multiple sensor crowns.

Layer 2 — Environment: An entire delta transformed into a gigantic rice-production landscape, thousands of flooded paddies, rivers, villages, bridges, boats, farms, roads, and distant cities beneath a glowing sunset, the titan towering over everything.

Layer 3 — Architecture: Multi-level mechanical torso containing visible agricultural factories, enormous transparent processing chambers, stacked threshing halls, grain-cleaning towers, drying reactors, robotic maintenance decks, conveyor networks, storage reservoirs, and structural exoskeleton beams.

Layer 4 — Energy/Physics: Brilliant cyan and gold energy channels, electromagnetic grain-routing tunnels, controlled thermal fields, magnetic suspension of rice particles, glowing power cores beneath the chest armor, visible energy pulses synchronized with machine movement.

Layer 5 — Cinematic Presentation: Monumental wide-angle cinematic composition, camera positioned at field level with the titan disappearing into clouds, golden-hour volumetric light, reflective water, realistic atmospheric haze, highly detailed industrial surfaces, epic cinematic depth, 16K photorealistic render.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,8,4,Level 4 - MEGACITY HARVESTER,video_prompt,video,16:9,8.0,"Use IMAGE 04 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts.

Second 1 [0:00-0:01] — HUD Popup Text: ""STEP 1: SYNCHRONIZE THE ARMS"" — Twelve harvesting arms illuminate and synchronize through glowing energy conduits.

Second 2 [0:01-0:02] — HUD Popup Text: ""STEP 2: SWEEP THE DELTA"" — The arms perform enormous coordinated harvesting sweeps across multiple fields.

Second 3 [0:02-0:03] — HUD Popup Text: ""STEP 3: ACCELERATE THRESHING"" — Internal threshing halls spin up as massive crop streams enter the belly.

Second 4 [0:03-0:04] — HUD Popup Text: ""STEP 4: MAGNETIC SORT"" — Glowing electromagnetic channels separate grains from chaff at extreme speed.

Second 5 [0:04-0:05] — HUD Popup Text: ""STEP 5: DISTRIBUTE & STORE"" — Robotic conveyors route rice into multiple enormous storage reservoirs.

Seconds 6-8 [0:05-0:08]: HUD fades; camera smoothly approaches the chest and transitions into an extreme close-up of a glowing magnetic grain-routing channel, operation stabilizing with continuous rice flow, no cuts.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,9,5,Level 5 - QUANTUM AGRICULTURAL TITAN,image_prompt,image,16:9,,"5-Layer Open Montage Structure

Layer 1 — Subject: An impossibly gigantic Rice Titan Harvester towering above entire agricultural provinces, equipped with twenty-four articulated harvesting arms, adaptive crop claws, autonomous drone swarms, multi-directional sensor arrays, and a monumental walking chassis.

Layer 2 — Environment: Vast rice plains extending across an entire geographic basin, interconnected rivers and irrigation networks, villages and cities appearing miniature, clouds wrapping around the titan's upper body, thousands of hectares of rice fields glowing beneath dawn light.

Layer 3 — Architecture: Gigantic modular torso containing vertically stacked threshing factories, quantum-scale grain separators, plasma-assisted dryers, robotic polishing chambers, automated packaging systems, immense grain reservoirs, internal rail networks, maintenance robots, and nested mechanical structures.

Layer 4 — Energy/Physics: Quantum-blue energy fields surrounding the machine, controlled magnetic levitation of grain particles, luminous particle streams, localized gravity manipulation around harvesting arms, plasma thermal loops, glowing quantum processing cores, subtle spatial distortion.

Layer 5 — Cinematic Presentation: Epic science-fiction agricultural documentary aesthetic, low-angle perspective from beneath the titan's feet, dramatic atmospheric clouds, photorealistic sunrise, cinematic lens flare, hyper-detailed machinery, realistic water and grain physics, deep volumetric lighting, 16K render.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
1,Impossible Giant Machine,1,Paddy / Rice Field,Agriculture,FILLED_IN_DB,1,Rice Titan Harvester,Paddy Harvesting,Titan Megastructures,ready_for_upload,20,10,5,Level 5 - QUANTUM AGRICULTURAL TITAN,video_prompt,video,16:9,8.0,"Use IMAGE 05 as the first frame and reference image. Exactly 8 seconds, photorealistic cinematic render, smooth continuous motion, no cuts.

Second 1 [0:00-0:01] — HUD Popup Text: ""STEP 1: QUANTUM SCAN"" — A luminous scanning field sweeps across enormous agricultural regions and instantly identifies ripe rice.

Second 2 [0:01-0:02] — HUD Popup Text: ""STEP 2: MASS HARVEST"" — Twenty-four arms simultaneously gather rice from enormous areas with perfectly synchronized motion.

Second 3 [0:02-0:03] — HUD Popup Text: ""STEP 3: QUANTUM THRESH"" — Crop streams enter glowing processing chambers where quantum-assisted separators isolate grains.

Second 4 [0:03-0:04] — HUD Popup Text: ""STEP 4: GRAVITY DRY"" — Grains float inside controlled gravity chambers while thermal energy removes moisture.

Second 5 [0:04-0:05] — HUD Popup Text: ""STEP 5: COMPRESS STORAGE"" — Rice is compressed into dense modular storage reservoirs using controlled fields.

Seconds 6-8 [0:05-0:08]: HUD fades; camera moves continuously into the belly and reaches an extreme close-up of individual rice grains floating through a luminous quantum separator before settling into stable flow, no cuts.",ready,1,veo_level10_package,success,2,3,success,,C:\Users\Irak\Desktop\Youtube Pipeline\PromptDatabase\output_packaged\Level_10_Rice_Titan_Harvester,YES,YES,YES (LOCKED - NO RETRY),COMPLETED_AND_PACKAGED
